item sound pos task
181 PRAC 1 reading
185 PRAC 1 reading
182 PRAC 1 reading
186 PRAC 1 reading
183 PRAC 1 reading
184 PRAC 1 reading
61 STD 3 reading
62 STD 4 reading
63 STD 5 reading
69 STD 3 reading
73 STD 3 reading
75 STD 5 reading
66 STD 4 reading
68 STD 2 reading
11 DEV 5 reading
82 STD 4 reading
10 DEV 4 reading
1 DEV 3 reading
17 DEV 3 reading
83 STD 5 reading
12 DEV 2 reading
9 DEV 3 reading
71 STD 5 reading
27 DEV 5 reading
90 STD 4 reading
72 STD 2 reading
85 STD 3 reading
28 DEV 2 reading
76 STD 2 reading
2 DEV 4 reading
84 STD 2 reading
77 STD 3 reading
8 DEV 2 reading
30 DEV 4 reading
15 DEV 5 reading
26 DEV 4 reading
24 DEV 2 reading
29 DEV 3 reading
81 STD 3 reading
19 DEV 5 reading
65 STD 3 reading
74 STD 4 reading
64 STD 2 reading
88 STD 2 reading
78 STD 4 reading
4 DEV 2 reading
70 STD 4 reading
79 STD 5 reading
89 STD 3 reading
87 STD 5 reading
25 DEV 3 reading
5 DEV 3 reading
14 DEV 4 reading
6 DEV 4 reading
18 DEV 4 reading
7 DEV 5 reading
67 STD 5 reading
21 DEV 3 reading
16 DEV 2 reading
86 STD 4 reading
13 DEV 3 reading
80 STD 2 reading
22 DEV 4 reading
3 DEV 5 reading
20 DEV 2 reading
23 DEV 5 reading
39 SLC 5 reading
43 SLC 5 reading
37 SLC 3 reading
46 SLC 4 reading
54 SLC 4 reading
40 SLC 2 reading
48 SLC 2 reading
45 SLC 3 reading
32 SLC 2 reading
60 SLC 2 reading
47 SLC 5 reading
52 SLC 2 reading
41 SLC 3 reading
55 SLC 5 reading
31 SLC 5 reading
57 SLC 3 reading
53 SLC 3 reading
33 SLC 3 reading
58 SLC 4 reading
42 SLC 4 reading
56 SLC 2 reading
36 SLC 2 reading
51 SLC 5 reading
59 SLC 5 reading
35 SLC 5 reading
34 SLC 4 reading
49 SLC 3 reading
50 SLC 4 reading
38 SLC 4 reading
44 SLC 2 reading
188 PRAC 1 zString
192 PRAC 1 zString
190 PRAC 1 zString
191 PRAC 1 zString
187 PRAC 1 zString
189 PRAC 1 zString
151 STD 5 zString
152 STD 2 zString
153 STD 3 zString
100 DEV 2 zString
171 STD 5 zString
95 DEV 5 zString
155 STD 5 zString
175 STD 5 zString
99 DEV 5 zString
156 STD 2 zString
101 DEV 3 zString
167 STD 5 zString
114 DEV 4 zString
92 DEV 2 zString
115 DEV 5 zString
180 STD 2 zString
97 DEV 3 zString
177 STD 3 zString
94 DEV 4 zString
104 DEV 2 zString
93 DEV 3 zString
119 DEV 5 zString
113 DEV 3 zString
105 DEV 3 zString
159 STD 5 zString
162 STD 4 zString
102 DEV 4 zString
179 STD 5 zString
160 STD 2 zString
163 STD 5 zString
117 DEV 3 zString
103 DEV 5 zString
107 DEV 5 zString
178 STD 4 zString
161 STD 3 zString
173 STD 3 zString
108 DEV 2 zString
110 DEV 4 zString
91 DEV 5 zString
98 DEV 4 zString
116 DEV 2 zString
172 STD 2 zString
168 STD 2 zString
165 STD 3 zString
169 STD 3 zString
176 STD 2 zString
106 DEV 4 zString
174 STD 4 zString
120 DEV 2 zString
164 STD 2 zString
158 STD 4 zString
157 STD 3 zString
170 STD 4 zString
118 DEV 4 zString
112 DEV 2 zString
166 STD 4 zString
96 DEV 2 zString
154 STD 4 zString
111 DEV 5 zString
109 DEV 3 zString
139 SLC 5 zString
122 SLC 4 zString
140 SLC 2 zString
130 SLC 4 zString
150 SLC 4 zString
137 SLC 3 zString
129 SLC 3 zString
138 SLC 4 zString
128 SLC 2 zString
135 SLC 5 zString
126 SLC 4 zString
124 SLC 2 zString
125 SLC 3 zString
121 SLC 3 zString
149 SLC 3 zString
123 SLC 5 zString
146 SLC 4 zString
142 SLC 4 zString
136 SLC 2 zString
145 SLC 3 zString
133 SLC 3 zString
141 SLC 3 zString
143 SLC 5 zString
148 SLC 2 zString
134 SLC 4 zString
131 SLC 5 zString
132 SLC 2 zString
127 SLC 5 zString
147 SLC 5 zString
144 SLC 2 zString
