item sound pos task
185 PRAC 1 zString
181 PRAC 1 zString
186 PRAC 1 zString
182 PRAC 1 zString
183 PRAC 1 zString
184 PRAC 1 zString
61 STD 3 zString
62 STD 4 zString
63 STD 5 zString
20 DEV 2 zString
71 STD 5 zString
88 STD 2 zString
83 STD 5 zString
65 STD 3 zString
72 STD 2 zString
7 DEV 5 zString
14 DEV 4 zString
13 DEV 3 zString
86 STD 4 zString
9 DEV 3 zString
19 DEV 5 zString
74 STD 4 zString
80 STD 2 zString
64 STD 2 zString
3 DEV 5 zString
84 STD 2 zString
82 STD 4 zString
69 STD 3 zString
25 DEV 3 zString
67 STD 5 zString
16 DEV 2 zString
78 STD 4 zString
70 STD 4 zString
8 DEV 2 zString
85 STD 3 zString
68 STD 2 zString
28 DEV 2 zString
73 STD 3 zString
18 DEV 4 zString
79 STD 5 zString
90 STD 4 zString
15 DEV 5 zString
4 DEV 2 zString
29 DEV 3 zString
76 STD 2 zString
12 DEV 2 zString
77 STD 3 zString
87 STD 5 zString
24 DEV 2 zString
75 STD 5 zString
27 DEV 5 zString
26 DEV 4 zString
10 DEV 4 zString
66 STD 4 zString
2 DEV 4 zString
23 DEV 5 zString
89 STD 3 zString
6 DEV 4 zString
17 DEV 3 zString
22 DEV 4 zString
11 DEV 5 zString
1 DEV 3 zString
5 DEV 3 zString
81 STD 3 zString
30 DEV 4 zString
21 DEV 3 zString
59 SLC 5 zString
51 SLC 5 zString
58 SLC 4 zString
46 SLC 4 zString
42 SLC 4 zString
48 SLC 2 zString
50 SLC 4 zString
34 SLC 4 zString
54 SLC 4 zString
45 SLC 3 zString
31 SLC 5 zString
37 SLC 3 zString
53 SLC 3 zString
55 SLC 5 zString
35 SLC 5 zString
49 SLC 3 zString
43 SLC 5 zString
44 SLC 2 zString
57 SLC 3 zString
52 SLC 2 zString
38 SLC 4 zString
33 SLC 3 zString
60 SLC 2 zString
41 SLC 3 zString
32 SLC 2 zString
47 SLC 5 zString
39 SLC 5 zString
56 SLC 2 zString
40 SLC 2 zString
36 SLC 2 zString
187 PRAC 1 reading
189 PRAC 1 reading
188 PRAC 1 reading
190 PRAC 1 reading
191 PRAC 1 reading
192 PRAC 1 reading
151 STD 5 reading
152 STD 2 reading
153 STD 3 reading
112 DEV 2 reading
175 STD 5 reading
155 STD 5 reading
168 STD 2 reading
174 STD 4 reading
113 DEV 3 reading
98 DEV 4 reading
110 DEV 4 reading
95 DEV 5 reading
176 STD 2 reading
111 DEV 5 reading
173 STD 3 reading
101 DEV 3 reading
154 STD 4 reading
119 DEV 5 reading
160 STD 2 reading
180 STD 2 reading
92 DEV 2 reading
117 DEV 3 reading
107 DEV 5 reading
171 STD 5 reading
156 STD 2 reading
103 DEV 5 reading
102 DEV 4 reading
108 DEV 2 reading
109 DEV 3 reading
169 STD 3 reading
91 DEV 5 reading
161 STD 3 reading
120 DEV 2 reading
94 DEV 4 reading
162 STD 4 reading
165 STD 3 reading
96 DEV 2 reading
93 DEV 3 reading
99 DEV 5 reading
118 DEV 4 reading
115 DEV 5 reading
100 DEV 2 reading
114 DEV 4 reading
167 STD 5 reading
157 STD 3 reading
170 STD 4 reading
172 STD 2 reading
163 STD 5 reading
97 DEV 3 reading
159 STD 5 reading
177 STD 3 reading
164 STD 2 reading
116 DEV 2 reading
179 STD 5 reading
105 DEV 3 reading
166 STD 4 reading
106 DEV 4 reading
178 STD 4 reading
104 DEV 2 reading
158 STD 4 reading
139 SLC 5 reading
149 SLC 3 reading
125 SLC 3 reading
143 SLC 5 reading
150 SLC 4 reading
144 SLC 2 reading
140 SLC 2 reading
146 SLC 4 reading
135 SLC 5 reading
136 SLC 2 reading
142 SLC 4 reading
124 SLC 2 reading
126 SLC 4 reading
128 SLC 2 reading
138 SLC 4 reading
145 SLC 3 reading
132 SLC 2 reading
134 SLC 4 reading
130 SLC 4 reading
123 SLC 5 reading
148 SLC 2 reading
121 SLC 3 reading
147 SLC 5 reading
137 SLC 3 reading
131 SLC 5 reading
141 SLC 3 reading
122 SLC 4 reading
133 SLC 3 reading
129 SLC 3 reading
127 SLC 5 reading
