item sound pos task
184 PRAC 1 reading
182 PRAC 1 reading
181 PRAC 1 reading
186 PRAC 1 reading
183 PRAC 1 reading
185 PRAC 1 reading
5 SLC 4 reading
24 SLC 3 reading
20 SLC 3 reading
16 SLC 3 reading
7 SLC 2 reading
9 SLC 4 reading
22 SLC 5 reading
12 SLC 3 reading
17 SLC 4 reading
3 SLC 2 reading
6 SLC 5 reading
23 SLC 2 reading
18 SLC 5 reading
2 SLC 5 reading
30 SLC 5 reading
11 SLC 2 reading
19 SLC 2 reading
4 SLC 3 reading
25 SLC 4 reading
14 SLC 5 reading
10 SLC 5 reading
21 SLC 4 reading
15 SLC 2 reading
26 SLC 5 reading
1 SLC 4 reading
29 SLC 4 reading
8 SLC 3 reading
28 SLC 3 reading
27 SLC 2 reading
13 SLC 4 reading
31 STD 2 reading
32 STD 3 reading
33 STD 4 reading
85 DEV 4 reading
39 STD 2 reading
70 DEV 5 reading
64 DEV 3 reading
59 STD 2 reading
51 STD 2 reading
63 DEV 2 reading
61 DEV 4 reading
79 DEV 2 reading
72 DEV 3 reading
49 STD 4 reading
42 STD 5 reading
37 STD 4 reading
73 DEV 4 reading
80 DEV 3 reading
75 DEV 2 reading
67 DEV 2 reading
81 DEV 4 reading
83 DEV 2 reading
34 STD 5 reading
74 DEV 5 reading
82 DEV 5 reading
58 STD 5 reading
62 DEV 5 reading
89 DEV 4 reading
84 DEV 3 reading
55 STD 2 reading
66 DEV 5 reading
44 STD 3 reading
41 STD 4 reading
54 STD 5 reading
76 DEV 3 reading
38 STD 5 reading
69 DEV 4 reading
35 STD 2 reading
48 STD 3 reading
78 DEV 5 reading
43 STD 2 reading
88 DEV 3 reading
86 DEV 5 reading
68 DEV 3 reading
47 STD 2 reading
57 STD 4 reading
40 STD 3 reading
90 DEV 5 reading
36 STD 3 reading
77 DEV 4 reading
60 STD 3 reading
53 STD 4 reading
65 DEV 4 reading
46 STD 5 reading
56 STD 3 reading
87 DEV 2 reading
52 STD 3 reading
50 STD 5 reading
45 STD 4 reading
71 DEV 2 reading
191 PRAC 1 zString
188 PRAC 1 zString
189 PRAC 1 zString
192 PRAC 1 zString
187 PRAC 1 zString
190 PRAC 1 zString
110 SLC 5 zString
112 SLC 3 zString
118 SLC 5 zString
120 SLC 3 zString
100 SLC 3 zString
99 SLC 2 zString
96 SLC 3 zString
91 SLC 2 zString
116 SLC 3 zString
95 SLC 2 zString
113 SLC 4 zString
104 SLC 3 zString
119 SLC 2 zString
101 SLC 4 zString
102 SLC 5 zString
97 SLC 4 zString
106 SLC 5 zString
98 SLC 5 zString
108 SLC 3 zString
107 SLC 2 zString
111 SLC 2 zString
92 SLC 3 zString
115 SLC 2 zString
105 SLC 4 zString
94 SLC 5 zString
117 SLC 4 zString
93 SLC 4 zString
109 SLC 4 zString
103 SLC 2 zString
114 SLC 5 zString
121 STD 4 zString
122 STD 5 zString
123 STD 2 zString
179 DEV 2 zString
131 STD 2 zString
173 DEV 4 zString
176 DEV 3 zString
165 DEV 4 zString
137 STD 4 zString
139 STD 2 zString
156 DEV 3 zString
175 DEV 2 zString
136 STD 3 zString
163 DEV 2 zString
138 STD 5 zString
140 STD 3 zString
129 STD 4 zString
128 STD 3 zString
159 DEV 2 zString
166 DEV 5 zString
164 DEV 3 zString
145 STD 4 zString
170 DEV 5 zString
146 STD 5 zString
155 DEV 2 zString
178 DEV 5 zString
141 STD 4 zString
142 STD 5 zString
148 STD 3 zString
171 DEV 2 zString
153 DEV 4 zString
125 STD 4 zString
143 STD 2 zString
174 DEV 5 zString
157 DEV 4 zString
162 DEV 5 zString
126 STD 5 zString
133 STD 4 zString
161 DEV 4 zString
127 STD 2 zString
147 STD 2 zString
180 DEV 3 zString
154 DEV 5 zString
149 STD 4 zString
124 STD 3 zString
160 DEV 3 zString
144 STD 3 zString
177 DEV 4 zString
132 STD 3 zString
172 DEV 3 zString
134 STD 5 zString
168 DEV 3 zString
151 DEV 2 zString
167 DEV 2 zString
135 STD 2 zString
152 DEV 3 zString
169 DEV 4 zString
158 DEV 5 zString
150 STD 5 zString
130 STD 5 zString
