item sound pos task
182 PRAC 1 zString
184 PRAC 1 zString
185 PRAC 1 zString
181 PRAC 1 zString
186 PRAC 1 zString
183 PRAC 1 zString
61 STD 2 zString
62 STD 3 zString
63 STD 4 zString
3 DEV 4 zString
76 STD 5 zString
9 DEV 2 zString
16 DEV 5 zString
82 STD 3 zString
84 STD 5 zString
15 DEV 4 zString
7 DEV 4 zString
83 STD 4 zString
22 DEV 3 zString
27 DEV 4 zString
30 DEV 3 zString
12 DEV 5 zString
1 DEV 2 zString
80 STD 5 zString
17 DEV 2 zString
85 STD 2 zString
89 STD 2 zString
77 STD 2 zString
26 DEV 3 zString
5 DEV 2 zString
21 DEV 2 zString
71 STD 4 zString
23 DEV 4 zString
18 DEV 3 zString
65 STD 2 zString
6 DEV 3 zString
64 STD 5 zString
28 DEV 5 zString
78 STD 3 zString
75 STD 4 zString
2 DEV 3 zString
24 DEV 5 zString
29 DEV 2 zString
20 DEV 5 zString
81 STD 2 zString
13 DEV 2 zString
25 DEV 2 zString
8 DEV 5 zString
67 STD 4 zString
4 DEV 5 zString
72 STD 5 zString
70 STD 3 zString
88 STD 5 zString
74 STD 3 zString
10 DEV 3 zString
69 STD 2 zString
79 STD 4 zString
68 STD 5 zString
19 DEV 4 zString
11 DEV 4 zString
66 STD 3 zString
90 STD 3 zString
86 STD 3 zString
73 STD 2 zString
14 DEV 3 zString
87 STD 4 zString
41 SLC 2 zString
51 SLC 4 zString
34 SLC 3 zString
40 SLC 5 zString
57 SLC 2 zString
32 SLC 5 zString
55 SLC 4 zString
59 SLC 4 zString
49 SLC 2 zString
47 SLC 4 zString
33 SLC 2 zString
39 SLC 4 zString
48 SLC 5 zString
38 SLC 3 zString
44 SLC 5 zString
50 SLC 3 zString
46 SLC 3 zString
56 SLC 5 zString
43 SLC 4 zString
52 SLC 5 zString
60 SLC 5 zString
35 SLC 4 zString
45 SLC 2 zString
36 SLC 5 zString
54 SLC 3 zString
42 SLC 3 zString
31 SLC 4 zString
53 SLC 2 zString
37 SLC 2 zString
58 SLC 3 zString
191 PRAC 1 reading
192 PRAC 1 reading
187 PRAC 1 reading
189 PRAC 1 reading
188 PRAC 1 reading
190 PRAC 1 reading
151 STD 4 reading
152 STD 5 reading
153 STD 2 reading
177 STD 2 reading
114 DEV 3 reading
112 DEV 5 reading
169 STD 2 reading
92 DEV 5 reading
104 DEV 5 reading
94 DEV 3 reading
120 DEV 5 reading
157 STD 2 reading
167 STD 4 reading
158 STD 3 reading
160 STD 5 reading
164 STD 5 reading
103 DEV 4 reading
172 STD 5 reading
155 STD 4 reading
174 STD 3 reading
111 DEV 4 reading
163 STD 4 reading
159 STD 4 reading
107 DEV 4 reading
178 STD 3 reading
166 STD 3 reading
91 DEV 4 reading
109 DEV 2 reading
170 STD 3 reading
98 DEV 3 reading
119 DEV 4 reading
156 STD 5 reading
161 STD 2 reading
110 DEV 3 reading
97 DEV 2 reading
173 STD 2 reading
105 DEV 2 reading
93 DEV 2 reading
102 DEV 3 reading
96 DEV 5 reading
179 STD 4 reading
162 STD 3 reading
154 STD 3 reading
175 STD 4 reading
117 DEV 2 reading
116 DEV 5 reading
171 STD 4 reading
115 DEV 4 reading
108 DEV 5 reading
99 DEV 4 reading
106 DEV 3 reading
101 DEV 2 reading
180 STD 5 reading
118 DEV 3 reading
95 DEV 4 reading
113 DEV 2 reading
100 DEV 5 reading
176 STD 5 reading
165 STD 2 reading
168 STD 5 reading
133 SLC 2 reading
149 SLC 2 reading
138 SLC 3 reading
139 SLC 4 reading
126 SLC 3 reading
121 SLC 2 reading
135 SLC 4 reading
136 SLC 5 reading
122 SLC 3 reading
130 SLC 3 reading
131 SLC 4 reading
134 SLC 3 reading
143 SLC 4 reading
125 SLC 2 reading
140 SLC 5 reading
123 SLC 4 reading
150 SLC 3 reading
132 SLC 5 reading
129 SLC 2 reading
127 SLC 4 reading
145 SLC 2 reading
144 SLC 5 reading
137 SLC 2 reading
142 SLC 3 reading
141 SLC 2 reading
147 SLC 4 reading
146 SLC 3 reading
124 SLC 5 reading
148 SLC 5 reading
128 SLC 5 reading
