item sound pos task
185 PRAC 1 reading
181 PRAC 1 reading
182 PRAC 1 reading
186 PRAC 1 reading
183 PRAC 1 reading
184 PRAC 1 reading
34 SLC 2 reading
38 SLC 2 reading
52 SLC 4 reading
41 SLC 5 reading
47 SLC 3 reading
54 SLC 2 reading
35 SLC 3 reading
46 SLC 2 reading
58 SLC 2 reading
37 SLC 5 reading
60 SLC 4 reading
31 SLC 3 reading
51 SLC 3 reading
55 SLC 3 reading
45 SLC 5 reading
42 SLC 2 reading
50 SLC 2 reading
33 SLC 5 reading
43 SLC 3 reading
57 SLC 5 reading
53 SLC 5 reading
44 SLC 4 reading
36 SLC 4 reading
48 SLC 4 reading
59 SLC 3 reading
32 SLC 4 reading
56 SLC 4 reading
40 SLC 4 reading
49 SLC 5 reading
39 SLC 3 reading
61 STD 5 reading
62 STD 2 reading
63 STD 3 reading
7 DEV 3 reading
13 DEV 5 reading
72 STD 4 reading
85 STD 5 reading
64 STD 4 reading
4 DEV 4 reading
71 STD 3 reading
23 DEV 3 reading
14 DEV 2 reading
78 STD 2 reading
73 STD 5 reading
26 DEV 2 reading
22 DEV 2 reading
6 DEV 2 reading
80 STD 4 reading
88 STD 4 reading
90 STD 2 reading
8 DEV 4 reading
66 STD 2 reading
27 DEV 3 reading
3 DEV 3 reading
16 DEV 4 reading
11 DEV 3 reading
82 STD 2 reading
65 STD 5 reading
76 STD 4 reading
5 DEV 5 reading
84 STD 4 reading
81 STD 5 reading
70 STD 2 reading
21 DEV 5 reading
30 DEV 2 reading
89 STD 5 reading
18 DEV 2 reading
24 DEV 4 reading
1 DEV 5 reading
25 DEV 5 reading
9 DEV 5 reading
74 STD 2 reading
12 DEV 4 reading
79 STD 3 reading
20 DEV 4 reading
83 STD 3 reading
75 STD 3 reading
67 STD 3 reading
77 STD 5 reading
87 STD 3 reading
15 DEV 3 reading
28 DEV 4 reading
10 DEV 2 reading
29 DEV 5 reading
68 STD 4 reading
86 STD 2 reading
69 STD 5 reading
19 DEV 3 reading
2 DEV 2 reading
17 DEV 5 reading
187 PRAC 1 zString
190 PRAC 1 zString
189 PRAC 1 zString
191 PRAC 1 zString
192 PRAC 1 zString
188 PRAC 1 zString
134 SLC 2 zString
122 SLC 2 zString
132 SLC 4 zString
150 SLC 2 zString
148 SLC 4 zString
133 SLC 5 zString
135 SLC 3 zString
136 SLC 4 zString
149 SLC 5 zString
125 SLC 5 zString
123 SLC 3 zString
126 SLC 2 zString
146 SLC 2 zString
121 SLC 5 zString
144 SLC 4 zString
128 SLC 4 zString
140 SLC 4 zString
145 SLC 5 zString
147 SLC 3 zString
129 SLC 5 zString
130 SLC 2 zString
124 SLC 4 zString
131 SLC 3 zString
137 SLC 5 zString
143 SLC 3 zString
138 SLC 2 zString
141 SLC 5 zString
142 SLC 2 zString
127 SLC 3 zString
139 SLC 3 zString
151 STD 3 zString
152 STD 4 zString
153 STD 5 zString
101 DEV 5 zString
161 STD 5 zString
162 STD 2 zString
109 DEV 5 zString
102 DEV 2 zString
169 STD 5 zString
107 DEV 3 zString
111 DEV 3 zString
160 STD 4 zString
155 STD 3 zString
103 DEV 3 zString
94 DEV 2 zString
99 DEV 3 zString
100 DEV 4 zString
95 DEV 3 zString
175 STD 3 zString
92 DEV 4 zString
165 STD 5 zString
98 DEV 2 zString
118 DEV 2 zString
108 DEV 4 zString
156 STD 4 zString
158 STD 2 zString
116 DEV 4 zString
114 DEV 2 zString
93 DEV 5 zString
164 STD 4 zString
96 DEV 4 zString
120 DEV 4 zString
167 STD 3 zString
117 DEV 5 zString
110 DEV 2 zString
179 STD 3 zString
91 DEV 3 zString
106 DEV 2 zString
115 DEV 3 zString
159 STD 3 zString
178 STD 2 zString
170 STD 2 zString
176 STD 4 zString
177 STD 5 zString
112 DEV 4 zString
172 STD 4 zString
157 STD 5 zString
171 STD 3 zString
180 STD 4 zString
174 STD 2 zString
105 DEV 5 zString
113 DEV 5 zString
173 STD 5 zString
166 STD 2 zString
119 DEV 3 zString
154 STD 2 zString
168 STD 4 zString
97 DEV 5 zString
163 STD 3 zString
104 DEV 4 zString
